# weight,point
0.0176140071391524,-0.9931285991850946
0.0406014298003871,-0.9639719272779135
0.0626720483341091,-0.9122344282513258
0.0832767415767047,-0.8391169718222186
0.1019301198172404,-0.7463319064601502
0.1181945319615179,-0.6360536807265150
0.1316886384491772,-0.5108670019508272
0.1420961093183822,-0.3737060887154195
0.1491729864726037,-0.2277858511416447
0.1527533871307249,-0.0765265211334973
0.1527533871307271,0.0765265211334971
0.1491729864726032,0.2277858511416452
0.1420961093183827,0.3737060887154192
0.1316886384491761,0.5108670019508269
0.1181945319615187,0.6360536807265146
0.1019301198172405,0.7463319064601502
0.0832767415767040,0.8391169718222184
0.0626720483341090,0.9122344282513261
0.0406014298003870,0.9639719272779136
0.0176140071391518,0.9931285991850951
